Gene,GTEX-18A66-2126_lowfat,GTEX-YB5E-0526_lowfat,GTEX-QESD-0226_lowfat,GTEX-1A8FM-1826_lowfat,GTEX-1399R-0426_highfat,GTEX-S32W-0826_highfat,GTEX-ZPU1-0226_highfat,GTEX-1H11D-0926_highfat,GTEX-1QPFJ-2226_highfat,GTEX-13FTW-0526_lowfat,GTEX-12WSG-1026_lowfat,GTEX-1497J-0426_highfat,GTEX-17HHE-0526_lowfat,GTEX-ZYT6-1326_lowfat,GTEX-1AMFI-0726_highfat,GTEX-WFON-0626_highfat,GTEX-13SLX-1326_lowfat,GTEX-132AR-1826_lowfat,GTEX-S33H-1226_highfat,GTEX-17HGU-2026_highfat,GTEX-12WSL-0426_highfat,GTEX-1AX8Z-1726_highfat,GTEX-ZEX8-1026_highfat,GTEX-1CAMQ-1626_lowfat,GTEX-18A6Q-1726_highfat,GTEX-12WSD-1626_lowfat,GTEX-1GF9X-1126_highfat,GTEX-1H23P-2026_lowfat,GTEX-OOBJ-1026_lowfat,GTEX-WQUQ-2126_highfat,GTEX-TKQ2-0426_highfat,GTEX-U8XE-2026_highfat,GTEX-1J8EW-1926_highfat,GTEX-Y5LM-0526_highfat,GTEX-XXEK-1726_lowfat,GTEX-QV44-0426_lowfat,GTEX-1C6VQ-1726_highfat,GTEX-ZF29-1126_highfat,GTEX-ZAB5-0826_highfat,GTEX-13FLV-0626_lowfat,GTEX-1B996-1326_lowfat,GTEX-ZYY3-0826_highfat,GTEX-WYVS-0926_lowfat,GTEX-ZVP2-0726_lowfat,GTEX-13N11-0226_lowfat,GTEX-OIZF-1026_highfat,GTEX-1CB4F-1226_highfat,GTEX-144GM-0726_lowfat,GTEX-14AS3-0326_lowfat,GTEX-1K9T9-1726_lowfat,GTEX-X3Y1-0726_highfat,GTEX-1B933-1726_highfat,GTEX-15RJ7-0826_highfat,GTEX-RM2N-0326_highfat,GTEX-QEL4-1326_lowfat,GTEX-11EQ9-1026_lowfat,GTEX-145MO-2126_highfat,GTEX-ZTPG-1026_lowfat,GTEX-14PHX-2026_highfat,GTEX-R53T-0426_lowfat,GTEX-QDVN-0926_highfat,GTEX-18A7A-1726_lowfat,GTEX-Q734-0426_lowfat,GTEX-1GN1U-1126_lowfat,GTEX-O5YT-1026_lowfat,GTEX-PX3G-1026_lowfat,GTEX-15ER7-1326_lowfat,GTEX-17MF6-1426_lowfat,GTEX-13PVR-0726_highfat,GTEX-13O1R-1826_highfat,GTEX-131XE-1926_lowfat,GTEX-ZAB4-1726_lowfat,GTEX-WY7C-1026_lowfat,GTEX-YEC4-1326_highfat,GTEX-139YR-1526_lowfat,GTEX-15DYW-1626_lowfat,GTEX-14PJO-1826_lowfat,GTEX-148VI-0826_lowfat,GTEX-VUSG-0326_highfat,GTEX-11GSP-0426_lowfat,GTEX-1B932-1626_lowfat
ENSG00000215182.8,64.39162355,1.278274978,20.61049901,13314.82582,45.73296813,8333.073942,10.18627333,0,5.522933366,21.529203,134.3844815,2.307038613,1.72961485,31.05606276,1.937929165,22.36570022,0,44.41812575,14.70986348,7.274293495,17.31040037,3.695396295,6.591021211,15.13294701,3.766399351,6.167957195,27.98369651,2335.225638,44.22475351,10.31316117,34.30521828,6.552149222,3.046314017,6.405785895,8.539377467,2.99224422,3.299070553,10.27749915,6.601484474,271.2669248,10.90193187,3.174085057,132.7067256,27.21565564,4.548592213,5.539608807,60.11982118,11.81463852,1.875349453,20.44122922,18.12173176,48.88172348,15.04792152,29.15199462,16.68871017,17.06971679,3.724957104,12.65453727,2.873606899,1592.755249,1565.566801,8.132216543,50.27619189,15.63892463,21.21852603,56.34102424,31.33800712,9.544382331,0,6.985293015,120.2802872,16.62037634,18.45234819,33.59607811,25.50871664,7.053097131,10.30427779,8.592454166,14.41193636,895.995437,7.111706415
ENSG00000232091.1,9.812056921,13.42188727,72.13674653,15.51844501,10.71866441,8.223920093,26.7389675,0.737343089,11.83485721,9.867551375,107.7875529,2.883798266,16.43134108,16.78706095,38.75858331,0.721474201,39.87678764,37.94048241,6.78916776,21.82288049,16.55777427,0.923849074,19.77306363,18.49582412,46.45225866,34.95175744,20.21044748,21.16106249,645.2793581,20.62632234,228.7014552,6.552149222,41.42987064,12.81157179,14.94391057,8.976732661,10.55702577,19.52724838,2.64059379,26.0118969,214.9237998,63.48170114,8.601361844,25.12214367,2.729155328,12.66196299,52.83257013,14.44011374,9.376747266,4.380263405,38.37543196,157.6186186,41.13098547,13.8819022,4.172177542,20.48366015,8.381153485,2.977538182,15.51747726,1.94238445,7.209056643,1248.295239,603.3143026,6.58481037,8.251649012,37.1611011,466.588106,115.8960712,63.85666747,45.9033541,4.454825452,15.58160282,2.214281782,32.57801514,2.125726387,628.9011609,32.49810689,289.9953281,2.882387272,158.7311264,6.222743113
ENSG00000116014.9,7.359042691,10.22619982,7580.541535,8.464606369,13.57697491,19.43835658,7.639705,8.11077398,7.100914328,1.79410025,11.1987068,3.460557919,3.4592297,6.71482438,0,2.164422602,0,338.6882089,18.10444736,16.97335149,6.021008824,0,0,21.85870123,1.25546645,8.223942926,6.218599225,23.89152217,8.040864275,6.346560721,0,1131.064759,0,4.484050127,1323.603507,7.480610551,23.75330798,2.05549983,6.601484474,5.573977908,3.114837678,43.37916244,9.830127822,2.093511972,10.91662131,4.74823612,17.30722125,148.3393503,13.12744617,10.95065851,3.197952663,2.99275858,21.06709012,13.8819022,9.73508093,2.560457519,29.79965683,51.36253364,0,20.39503673,2.403018881,1.355369424,5.914846104,9.054114258,7.662245511,4.794980786,6.964001582,21.81573104,0,19.95798004,651.146987,7.271414648,2.95237571,15.27094459,23.38299025,2.351032377,3.963183767,1.074056771,11.52954909,8.354269808,5.333779811
ENSG00000110245.11,50.28679172,0,26.79364871,7.05383864,28.58310508,17.94309838,17.82597833,4.792730079,1.577980962,17.04395237,75.59127087,3.460557919,0.864807425,56.23665418,21.31722082,2.885896803,661.9546748,49.04501385,15.84139144,7.274293495,18.81565257,13.85773611,6.591021211,15.13294701,0,49.34365756,35.75694554,14.3349133,10.05108034,4.759920541,4.288152285,0,0.609262803,2.562314358,5.337110917,23.93795376,60.70289818,2.05549983,10.56237516,150.4974035,9.344513035,34.91493563,6.143829889,24.07538768,1.819436885,1.582745373,1.821812763,3.938212839,20.62884399,7.300439009,4.263936884,8.978275741,2.006389535,55.5276088,69.53629236,4.267429198,14.89982842,28.28661273,6.321935179,75.75299357,0,0,25.13809594,22.223735,13.55628052,20.37866834,40.0430091,9.544382331,15.15242957,3.991596008,102.4609854,0,8.857127129,24.43351135,12.75435832,9.404129508,33.29074364,12.88868125,1.441193636,27.15137688,12.44548623
ENSG00000203837.4,7.359042691,13.42188727,350.3784831,2.821535456,6.431198644,7.476290994,0,6.636087802,17.35779058,13.45575187,29.39660534,7.497875492,82.15670538,3.35741219,33.9137604,18.75832922,11.96303629,4.626888099,1.13152796,9.699057994,3.010504412,3.695396295,3.954612726,3.362877113,11.29919805,32.8957717,9.327898837,10.92183871,26.13280889,6.346560721,7.146920475,352.1780207,6.092628035,12.81157179,35.22493205,5.984488441,16.49535277,9.249749234,6.601484474,14.86394109,26.47612027,53.95944597,8.601361844,18.84160775,0,10.28784493,5.46543829,397.7594967,6.563723086,60.59364377,6.395905326,42.89620632,11.03514244,16.65828264,9.73508093,4.267429198,17.69354625,6.69946091,6.896656559,7.769537802,2.403018881,21.68591078,10.35098068,5.761709074,6.48343851,7.19247118,10.44600237,27.2696638,10.82316398,47.8991521,45.29072543,154.7772547,11.80950284,11.1986927,0,82.2861332,15.85273507,8.592454166,2.882387272,150.3768566,1.777926604
ENSG00000198099.8,9.198803364,3.195687445,24.73259881,5.643070912,11.43324203,2.990516397,3.8198525,2.212029267,7.889904809,4.485250625,25.19709029,5.190836879,10.3776891,13.42964876,0,1.442948402,127.6057204,23.1344405,1.13152796,0,9.031513236,14.78158518,0,8.407192782,5.021865801,6.167957195,7.773249031,9.556608868,10.05108034,4.759920541,0,3.276074611,4.264839624,3.843471537,6.4045331,10.47285477,1.319628221,1.027749915,4.621039132,52.02379381,15.57418839,14.81239693,4.915063911,6.280535917,3.63887377,0,0,0,4.688373633,1.460087802,0,3.990344774,2.006389535,1.38819022,16.68871017,1.706971679,1.862478552,13.39892182,5.747213799,8.740730027,2.403018881,5.421477696,8.872269157,0.823101296,12.37747352,13.18619716,0,13.6348319,4.329265591,1.995798004,25.2440109,1.038773521,7.380939275,4.072251892,4.251452774,3.526548566,0,11.81462448,5.764774545,0,0.888963302
ENSG00000204632.11,34.95545278,87.56183598,59.77044712,52.19840594,39.30176949,30.65279307,34.3786725,42.39722762,24.45870491,49.33775687,589.3319451,68.63439874,29.40345245,104.0797779,30.03790207,73.59036848,143.5564355,85.13474103,20.36750328,10.91144024,25.5892875,66.51713331,72.50123332,43.71740247,90.39358443,51.39964329,31.09299612,16.38275806,165.8428257,15.07308171,40.02275466,43.40798859,66.40964558,23.70140781,25.6181324,68.82161707,37.60940431,28.77699762,58.09306337,159.7873667,18.68902607,19.04451034,41.77804324,62.80535917,104.6176209,172.5192457,4.554531908,32.81844032,32.81861543,23.36140483,60.7611006,55.86482684,19.06070059,9.71733154,77.88064744,41.82080614,11.17487131,51.36253364,94.2543063,89.34968472,21.02641521,363.2390056,238.0725557,17.28512722,62.47677109,55.14227904,353.4230803,623.1118179,32.46949194,27.94117206,51.2304927,211.9097983,70.11892311,83.48116378,39.68022589,196.3112035,12.68218805,22.55519219,7.205968181,296.5765782,74.67291736
ENSG00000263711.5,1.226507115,0.639137489,0,1.410767728,0,0.747629099,0,0.368671545,3.155961924,0,2.799676699,8.074635145,0,1.678706095,3.875858331,0,0,0,9.05222368,0,3.010504412,0,0,0,75.32798702,6.167957195,0,1.365229838,0,0,0,10.64724249,4.874102428,3.202892948,2.134844367,0,1.319628221,2.05549983,0,0,0,14.81239693,1.228765978,0,1.819436885,0,37.34716165,0,0,0,4.263936884,0.997586193,0,0,9.73508093,0.85348584,2.793717828,5.210691819,2.29888552,0,3.604528322,1.355369424,0,1.646202592,4.125824506,0,0,0,1.082316398,1.995798004,0,116.3426344,0,22.39738541,0,0,0,2.148113542,0,0,0
ENSG00000263711.5,1.226507115,0.639137489,0,1.410767728,0,0.747629099,0,0.368671545,3.155961924,0,2.799676699,8.074635145,0,1.678706095,3.875858331,0,0,0,9.05222368,0,3.010504412,0,0,0,75.32798702,6.167957195,0,1.365229838,0,0,0,10.64724249,4.874102428,3.202892948,2.134844367,0,1.319628221,2.05549983,0,0,0,14.81239693,1.228765978,0,1.819436885,0,37.34716165,0,0,0,4.263936884,0.997586193,0,0,9.73508093,0.85348584,2.793717828,5.210691819,2.29888552,0,3.604528322,1.355369424,0,1.646202592,4.125824506,0,0,0,1.082316398,1.995798004,0,116.3426344,0,22.39738541,0,0,0,2.148113542,0,0,0
ENSG00000021461.16,20.2373674,150.1973099,10.3052495,7.05383864,37.15803661,148.0305617,21.64583083,21.38294958,11.04586673,258.350436,18.19789854,92.28154452,29.40345245,14.26900181,394.3685852,75.75479108,23.92607258,0,3.39458388,3.637146748,2126.921367,9.238490737,1.318204242,72.30185793,18.83199676,2.055985732,206.7684242,60.07011288,15.07662052,338.7476785,15.72322504,3.276074611,43.86692185,433.6717051,0,41.89141909,7.917769328,578.6232021,35.64801616,5.573977908,34.26321446,10.58028352,92.15744833,204.1174173,17.28465041,3.165490747,19.12903401,2.625475226,412.5768797,11.68070241,446.6473886,23.94206864,8.025558141,423.3980171,123.7746004,108.3927016,201.1476836,8.188230001,25.28774071,7.769537802,81.70264196,24.39664963,19.22324984,27.16234278,70.72842011,34.7636107,8.705001977,9.544382331,2644.09896,1.995798004,1.484941817,13.50405577,81.19033202,222.9557911,5.668603698,15.28171045,79.26367534,11.81462448,14.41193636,6.265702356,7.111706415
ENSG00000021461.16,20.2373674,150.1973099,10.3052495,7.05383864,37.15803661,148.0305617,21.64583083,21.38294958,11.04586673,258.350436,18.19789854,92.28154452,29.40345245,14.26900181,394.3685852,75.75479108,23.92607258,0,3.39458388,3.637146748,2126.921367,9.238490737,1.318204242,72.30185793,18.83199676,2.055985732,206.7684242,60.07011288,15.07662052,338.7476785,15.72322504,3.276074611,43.86692185,433.6717051,0,41.89141909,7.917769328,578.6232021,35.64801616,5.573977908,34.26321446,10.58028352,92.15744833,204.1174173,17.28465041,3.165490747,19.12903401,2.625475226,412.5768797,11.68070241,446.6473886,23.94206864,8.025558141,423.3980171,123.7746004,108.3927016,201.1476836,8.188230001,25.28774071,7.769537802,81.70264196,24.39664963,19.22324984,27.16234278,70.72842011,34.7636107,8.705001977,9.544382331,2644.09896,1.995798004,1.484941817,13.50405577,81.19033202,222.9557911,5.668603698,15.28171045,79.26367534,11.81462448,14.41193636,6.265702356,7.111706415
ENSG00000142512.14,115.9049224,74.13994872,0,23.98305138,60.02452067,271.3893631,28.01225167,251.8026649,107.3027054,121.998817,16.79806019,474.096435,31.99787473,15.10835486,98.83438744,1467.478524,11.96303629,142.5081535,39.6034786,24.24764498,50.4259489,234.6576647,27.68228908,23.54013979,8.788265153,14.39190012,37.31159535,25.93936693,35.1787812,77.74536883,15.72322504,54.87424973,10.96673046,85.19695241,10.67422183,58.3487623,23.09349387,207.6054828,75.91707145,7.431970544,29.59095794,81.46818313,28.26161749,155.9666419,195.5894652,775.545233,105.6651403,26.25475226,35.63163961,27.74166823,196.1410967,23.94206864,18.05750582,79.12684254,48.67540465,114.3671025,41.90576742,34.2416891,402.3049659,33.02053566,397.6996248,14.90906366,35.48907663,120.9958905,98.43038465,33.56486551,6.964001582,278.1505708,169.9236745,63.86553614,74.24709087,28.04688507,155.7378187,82.46310081,274.9272794,5.877580943,38.83920091,24.70330573,21.61790454,10.44283726,58.67157792
FAT_PERCENTAGE_PANCREAS,8.26631727,5.232720718,8.348142458,11.90731153,28.80185098,52.8241662,26.13863305,22.72919144,34.03488185,11.52232297,7.91221249,17.98027573,8.945618138,5.686742244,16.57087347,60.17854387,6.147277145,7.086950864,26.34577552,41.35752455,66.52705164,28.98386729,19.13004038,5.661116582,16.42708298,5.548905568,31.76249739,7.340055594,8.767529881,48.57279554,16.53861568,18.77213023,17.55449487,15.36429225,3.626548341,14.50667849,29.31854821,22.7150545,39.09198942,8.645844783,8.541984502,18.11339932,11.24984006,5.715915406,6.507396351,50.22914618,18.09106592,3.672289853,3.924384242,3.981223809,31.1201274,22.22792265,36.25136913,23.43353728,9.435384489,7.65311417,20.78361724,4.145549004,15.85494245,5.847765731,30.54572927,3.322570967,3.310037456,10.97197966,3.858661984,3.611793193,5.322730922,8.761012826,17.86248444,66.48814048,6.454244218,7.447712824,10.51687682,20.48727437,6.213011374,7.019302878,5.224973341,10.44572245,17.01522435,5.116666197,9.026539106
